stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8738666,"LES CLAIRIERES DE VERNEUIL",,48.992316,1.955334,,,1,
StopArea:DUA8738673,"AUBERGENVILLE ELISABETHVILLE",,48.972071,1.848367,,,1,
StopArea:DUA8738676,"EPONE MEZIERES",,48.962886,1.808732,,,1,
StopArea:DUA8727658,"ERMONT HALTE",,48.992527,2.261703,,,1,
StopArea:DUA8727659,"GROS NOYER SAINT-PRIX",,48.994875,2.25775,,,1,
StopArea:DUA8727660,"SAINT-LEU LA FORET",,49.015663,2.242343,,,1,
StopArea:DUA8727662,"VAUCELLES",,49.023484,2.227981,,,1,
StopArea:DUA8727663,"TAVERNY",,49.024366,2.224045,,,1,
StopArea:DUA8727664,"BESSANCOURT",,49.035913,2.210992,,,1,
StopArea:DUA8727665,"Gare de Frépillon",,49.04664,2.199447,,,1,
StopArea:DUA8727666,"GARE DE MERY VAL D'OISE",,49.057539,2.19063,,,1,
StopArea:DUA8727667,"MERIEL",,49.077539,2.205179,,,1,
StopArea:DUA8727653,"VALMONDOIS",,49.091073,2.201823,,,1,
StopArea:DUA8727652,"L'ISLE ADAM PARMAIN",,49.114636,2.209652,,,1,
StopArea:DUA8727651,"CHAMPAGNE SUR OISE",,49.135726,2.242527,,,1,
StopArea:DUA8727646,"PERSAN BEAUMONT",,49.14835,2.280622,,,1,
StopArea:DUA8768220,"BOIS LE ROI",,48.475142,2.691626,,,1,
StopArea:DUA8768221,"FONTAINEBLEAU AVON",,48.415982,2.726345,,,1,
StopArea:DUA8768225,"THOMERY",,48.394308,2.764028,,,1,
StopArea:DUA8768227,"MORET VENEUX LES SABLONS",,48.378136,2.798211,,,1,
StopArea:DUA8768229,"SAINT-MAMMES",,48.382358,2.815957,,,1,
StopArea:DUA8768230,"MONTEREAU",,48.37996,2.943402,,,1,
StopArea:DUA8711667,"LA FERTE MILON",,49.179505,3.120613,,,1,
